"fhidata.municip_code";"fhidata.municip_name";"value";"prior_0"
"municip4642";"Lærdal";0.734348810762791;-1
"municip4643";"Årdal";0.623759421385534;-1
"municip4644";"Luster";0.674945077244932;-1
"municip4645";"Askvoll";0.816753504324797;-1
"municip4646";"Fjaler";0.605774882321059;-1
"municip4647";"Sunnfjord";0.69334255650052;-1
"municip4648";"Bremanger";0.705250633574255;-1
"municip4649";"Stad";0.890084463666089;-1
"municip4650";"Gloppen";0.732166709133902;-1
"municip4651";"Stryn";0.754855912405755;-1
"municip5001";"Trondheim";0.824474577502207;0
"municip5006";"Steinkjer";0.745086562052332;-1
"municip5007";"Namsos";0.735736408950053;-1
"municip5014";"Frøya";0.777499055208934;-1
"municip5020";"Osen";0.827382190237718;-1
"municip5021";"Oppdal";0.779892904589115;-1
"municip5022";"Rennebu";0.83439329219354;-1
"municip5025";"Røros";0.438166264274209;-1
"municip5026";"Holtålen";0.706377350417672;-1
"municip5027";"Midtre-Gauldal";0.837626850711805;-1
"municip5028";"Melhus";0.672669568188343;-1
"municip5029";"Skaun";0.669744698106523;-1
"municip5031";"Malvik";0.76225712493038;-1
"municip5032";"Selbu";0.688839243868924;-1
"municip5033";"Tydal";0.793109079512972;-1
"municip5034";"Meråker";0.755212901321891;-1
"municip5035";"Stjørdal";0.849880585342671;-1
"municip5036";"Frosta";0.878596962146251;-1
"municip5037";"Levanger";0.780786973291026;-1
"municip5038";"Verdal";0.831390603121069;-1
"municip5041";"Snåase-Snåsa";0.691537758299244;-1
"municip5042";"Lierne";0.798458895640346;-1
"municip5043";"Røyrvik";0.804716071148414;-1
"municip5044";"Namsskogan";0.758002358545538;-1
"municip5045";"Grong";0.871273797790115;-1
"municip5046";"Høylandet";0.828572163548573;-1
"municip5047";"Overhalla";0.777848741825426;-1
"municip5049";"Flatanger";0.811084820102969;-1
"municip5052";"Leka";0.790984701498606;-1
"municip5053";"Inderøy";0.872846227422652;-1
"municip5054";"Indre-Fosen";0.588804189809837;-1
"municip5055";"Heim";0.659853567805408;-1
"municip5056";"Hitra";0.918106105254883;-1
"municip5057";"Ørland";0.698719699131587;-1
"municip5058";"Åfjord";0.677445142741053;-1
"municip5059";"Orkland";0.625174694189085;-1
"municip5060";"Nærøysund";0.652169575422233;-1
"municip5061";"Rindal";0.53743306964912;-1
"municip5401";"Tromsø";0.802721450061363;-1
"municip5402";"Harstad";0.809017661885476;-1
"municip5403";"Alta";0.656201290200104;-1
"municip5404";"Vardø";0.757196650295929;-1
"municip5405";"Vadsø";0.736486419282924;-1
"municip5406";"Hammerfest";0.790045204709347;-1
"municip5411";"Kvæfjord";0.837300140019579;-1
"municip5412";"Tjeldsund";0.694465520454954;-1
"municip5413";"Ibestad";0.858083903843158;-1
"municip5414";"Gratangen";0.810711327698599;-1
"municip5415";"Loabák - Lavangen";0.800842956149948;-1
"municip5416";"Bardu";0.805395454107202;-1
"municip5417";"Salangen";0.73128133318858;-1
"municip5418";"Målselv";0.509642309655841;-1
"municip5419";"Sørreisa";0.717486812114253;-1
"municip5420";"Dyrøy";0.757408607212554;-1
"municip5421";"Senja";0.623131493150069;-1
"municip5422";"Balsfjord";0.802793180814082;-1
"municip5423";"Karlsøy";0.775688084980221;-1
"municip5424";"Lyngen";0.736082061646562;-1
"municip5425";"Storfjord - Omasvuotna - Omasvuono";0.795284495033122;-1
"municip5426";"Gáivuotna - Kåfjord - Kaivuono";0.526952099240336;-1
"municip5427";"Skjervøy";0.548535528320132;-1
"municip5428";"Nordreisa";0.40572177335776;-1
"municip5429";"Kvænangen";0.770992037079425;-1
"municip5430";"Guovdageaidnu - Kautokeino";0.596901516627547;-1
"municip5432";"Loppa";0.816319346015961;-1
"municip5433";"Hasvik";0.840673941078265;-1
"municip5434";"Måsøy";0.863565990635392;-1
"municip5435";"Nordkapp";0.60141860903332;-1
"municip5436";"Porsanger - Porsáŋgu - Porsanki";0.815802404511717;-1
"municip5437";"Kárášjohka - Karasjok";0.588714509627448;-1
"municip5438";"Lebesby";0.759643230177348;-1
"municip5439";"Gamvik";0.754379073233644;-1
"municip5440";"Berlevåg";0.769159807174871;-1
"municip5441";"Deatnu - Tana";0.65715236840158;-1
"municip5442";"Unjárga - Nesseby";0.776238128168552;-1
"municip5443";"Båtsfjord";0.796136186391323;-1
"municip5444";"Sør-Varanger";0.585091847988174;-1
